question,answer
What is the difference between classical and operant conditioning?,Classical conditioning involves associating stimuli while operant conditioning involves consequences following behavior
Who developed the hierarchy of needs theory?,Abraham Maslow
What are the five stages of grief according to Kübler-Ross?,"Denial, Anger, Bargaining, Depression, Acceptance"
What is cognitive dissonance?,The mental discomfort from holding contradictory beliefs or attitudes
What part of the brain is primarily responsible for memory formation?,Hippocampus
What is the difference between short-term and long-term memory?,Short-term memory lasts seconds to minutes while long-term memory can last indefinitely
Who conducted the Stanford Prison Experiment?,Philip Zimbardo
What is the bystander effect?,The tendency for people to be less likely to help when others are present
What are the Big Five personality traits?,"Openness, Conscientiousness, Extraversion, Agreeableness, Neuroticism"
What is selective attention?,The ability to focus on relevant information while filtering out irrelevant stimuli
What is the difference between correlation and causation?,Correlation shows relationship between variables but doesn't prove one causes the other
What is operant conditioning?,Learning through consequences of behavior (reinforcement and punishment)
Who is considered the father of psychoanalysis?,Sigmund Freud
What is the placebo effect?,Improvement in condition due to belief in treatment rather than the treatment itself
What is confirmation bias?,The tendency to search for and interpret information that confirms existing beliefs
