question,answer
What is 2 + 3?,5
What color do you get when you mix red and yellow?,Orange
How many days are in a week?,7
What is the capital of the United States?,Washington D.C.
What animal says "moo"?,Cow
What is 10 - 4?,6
How many legs does a spider have?,8
What shape has three sides?,Triangle
What planet do we live on?,Earth
What is 5 x 2?,10
What season comes after winter?,Spring
How many minutes are in an hour?,60
What do bees make?,Honey
What is the opposite of hot?,Cold
How many wheels does a bicycle have?,2
What do you call a baby cat?,Kitten
What is 15 / 3?,5
What color is the sun?,Yellow
How many months are in a year?,12
What do plants need to grow?,Water and sunlight
