question,answer
What is the largest desert in the world?,Antarctica
Which river is the longest in the world?,Nile River
What is the capital of Australia?,Canberra
Which mountain range separates Europe from Asia?,Ural Mountains
What is the smallest country in the world by area?,Vatican City
Which strait separates Europe and Africa?,Strait of Gibraltar
What is the deepest ocean trench?,Mariana Trench
Which country has the most time zones?,France
What is the largest island in the Mediterranean Sea?,Sicily
Which African country is completely surrounded by South Africa?,Lesotho
What is the highest capital city in the world?,La Paz
Which river forms part of the border between Mexico and the United States?,Rio Grande
What is the largest lake in Africa?,Lake Victoria
Which European country has coastlines on both the Atlantic and Mediterranean?,Spain
What is the term for a narrow strip of land connecting two larger land masses?,Isthmus
Which country is known as the Land of the Rising Sun?,Japan
What is the largest coral reef system in the world?,Great Barrier Reef
Which city is located on two continents?,Istanbul
What is the driest desert in the world?,Atacama Desert
Which country has the longest coastline in the world?,Canada
